"dbpedia resource uri","ROMEMP URL","Wikipedia URI","viaf1","name1","name2","name3"
"http://dbpedia.org/resource/Didius_Julianus","http://www.roman-emperors.org/didjul.htm","http://en.wikipedia.org/wiki/Didius_Julianus","http://viaf.org/viaf/121896833","Didius Julianus","Marcus Didius Severus Julianus",
"http://dbpedia.org/resource/Septimius_Severus","http://www.roman-emperors.org/sepsev.htm","http://en.wikipedia.org/wiki/Septimius_Severus","http://viaf.org/viaf/36952961","Septimius Severus","Lucius Septimius Severus",
"http://dbpedia.org/resource/Pescennius_Niger",,"http://en.wikipedia.org/wiki/Pescennius_Niger","http://viaf.org/viaf/40174483","Pescennius Niger",,
"http://dbpedia.org/resource/Clodius_Albinus",,"http://en.wikipedia.org/wiki/Clodius_Albinus","http://viaf.org/viaf/60152178","Clodius Albinus",,
"http://dbpedia.org/resource/Caracalla","http://www.roman-emperors.org/caracala.htm","http://en.wikipedia.org/wiki/Caracalla","http://viaf.org/viaf/88672215","Caracalla","Lucius Septimius Bassianus"," Marcus Aurelius Antoninus"
"http://dbpedia.org/resource/Publius_Septimius_Geta","http://www.roman-emperors.org/geta.htm","http://en.wikipedia.org/wiki/Publius_Septimius_Geta","http://viaf.org/viaf/77699459","Geta","Publius Septimius Geta",
"http://dbpedia.org/resource/Macrinus","http://www.roman-emperors.org/macrinus.htm","http://en.wikipedia.org/wiki/Macrinus","http://viaf.org/viaf/89202499","Macrinus","Marcus Opellius Macrinus",
"http://dbpedia.org/resource/Diadumenian","http://www.roman-emperors.org/diadumen.htm","http://en.wikipedia.org/wiki/Diadumenian","http://viaf.org/viaf/89203309","Diadumenian","Diadumenianius",
"http://dbpedia.org/resource/Elagabalus","http://www.roman-emperors.org/elagabal.htm","http://en.wikipedia.org/wiki/Elagabalus","http://viaf.org/viaf/24583475","Elagabalus","Marcus Aurelius Antoninus",
"http://dbpedia.org/resource/Alexander_Severus","http://www.roman-emperors.org/alexsev.htm","http://en.wikipedia.org/wiki/Alexander_Severus","http://viaf.org/viaf/50018342","Alexander Severus",,
"http://dbpedia.org/resource/Maximinus_Thrax","http://www.roman-emperors.org/maxthrax.htm","http://en.wikipedia.org/wiki/Maximinus_Thrax","http://viaf.org/viaf/72703271","Maximinus Thrax",,
"http://dbpedia.org/resource/Gordian_I","http://www.roman-emperors.org/gordo1.htm","http://en.wikipedia.org/wiki/Gordian_I","http://viaf.org/viaf/3274737","Gordian I",,
"http://dbpedia.org/resource/Gordian_II",,"http://en.wikipedia.org/wiki/Gordian_II","http://viaf.org/viaf/47565555","Gordian II",,
"http://dbpedia.org/resource/Pupienus_and_Balbinus",,"http://en.wikipedia.org/wiki/Pupienus_and_Balbinus","http://viaf.org/viaf/89202531","Pupienus",,
,,,"http://viaf.org/viaf/50029581","Balbinus",,
"http://dbpedia.org/resource/Gordian_III","http://www.roman-emperors.org/gordo3.htm","http://en.wikipedia.org/wiki/Gordian_III","http://viaf.org/viaf/89202520","Gordian III",,
"http://dbpedia.org/resource/Sabinianus",,"http://en.wikipedia.org/wiki/Sabinianus",,"Sabinianus",,
"http://dbpedia.org/resource/Philip_the_Arab","http://www.roman-emperors.org/philarab.htm","http://en.wikipedia.org/wiki/Philip_the_Arab","http://viaf.org/viaf/67260910","Philip the Arab","Marcus Julius Philippus",
"http://dbpedia.org/resource/Pacatianus",,"http://en.wikipedia.org/wiki/Pacatianus",,"Pacatianus",,
"http://dbpedia.org/resource/Jotapianus",,"http://en.wikipedia.org/wiki/Jotapianus",,"Jotapianus",,
"http://dbpedia.org/resource/Silbannacus",,"http://en.wikipedia.org/wiki/Silbannacus",,"Silbannacus",,
"http://dbpedia.org/resource/Decius","http://www.roman-emperors.org/decius.htm","http://en.wikipedia.org/wiki/Decius","http://viaf.org/viaf/10649322","Decius","Trajan Decius"," Gaius Messius Quintus Decius"
"http://dbpedia.org/resource/Gaius_Julius_Priscus",,"http://en.wikipedia.org/wiki/Gaius_Julius_Priscus",,"Priscus",,
"http://dbpedia.org/resource/Licinianus",,"http://en.wikipedia.org/wiki/Licinianus",,"Licinianus",,
"http://dbpedia.org/resource/Herennius_Etruscus",,"http://en.wikipedia.org/wiki/Herennius_Etruscus",,"Herennius Etruscus",,
"http://dbpedia.org/resource/Hostilian",,"http://en.wikipedia.org/wiki/Hostilian",,"Hostilian",,
"http://dbpedia.org/resource/Trebonianus_Gallus",,"http://en.wikipedia.org/wiki/Trebonianus_Gallus",,"Gallus",,
"http://dbpedia.org/resource/Volusianus",,"http://en.wikipedia.org/wiki/Volusianus",,"Volusianus",,
"http://dbpedia.org/resource/Aemilianus","http://www.roman-emperors.org/aemaem.htm","http://en.wikipedia.org/wiki/Aemilianus",,"Aemilian","Marcus Aemilius Aemilianus",
"http://dbpedia.org/resource/Valerian_(emperor)","http://www.roman-emperors.org/gallval.htm","http://en.wikipedia.org/wiki/Valerian_(emperor)","http://viaf.org/viaf/89202605","Valerian","P. Licinius Valerianus",
"http://dbpedia.org/resource/Gallienus","http://www.roman-emperors.org/gallval.htm","http://en.wikipedia.org/wiki/Gallienus","http://viaf.org/viaf/10637212","Gallienus","P. Licinius Egnatius Gallienus",
"http://dbpedia.org/resource/Saloninus",,"http://en.wikipedia.org/wiki/Saloninus",,"Saloninus",,
"http://dbpedia.org/resource/Ingenuus",,"http://en.wikipedia.org/wiki/Ingenuus",,"Ingenuus",,
"http://dbpedia.org/resource/Regalianus",,"http://en.wikipedia.org/wiki/Regalianus",,"Regalianus",,
"http://dbpedia.org/resource/Macrianus_Major",,"http://en.wikipedia.org/wiki/Macrianus_Major",,"Macrianus Major",,
